ds,y,fechamento,abertura,y_lag_1,fechamento_lag_1,max_lag_1,min_lag_1,amplitude_lag_1,delta_lag_1,variacao_lag_1,volatilidadeS_lag_1,volatilidadeM_lag_1,volatilidadeT_lag_1,volatilidadeSE_lag_1,volatilidadeA_lag_1,maS_lag_1,maM_lag_1,maT_lag_1,maSE_lag_1,maA_lag_1
2016-12-26,1,0.6829999999999998,0.6859999999999999,1.0,0.681999999999995,0.4969999999999999,0.42600000000000193,0.07099999999999795,1.0729999999999933,0.018694401081855508,0.11915830134679661,0.017935766797481656,0.0032669247467269624,0.0008463487483546528,0.0008639558802252534,-0.09039999999999537,-0.18404545454545485,0.008893939393949779,0.06458333333333144,0.0488257575757558
2016-12-27,1,0.07700000000000529,0.6859999999999999,1.0,0.6829999999999998,0.6379999999999981,0.6859999999999999,-0.04800000000000182,-0.0030000000000001137,-0.00019280602128293745,-0.31895771353444324,0.012236732931714123,0.0025931642311309844,0.001726696702409436,0.0008064023616038973,0.30180000000000007,-0.12618181818181995,0.013393939393935739,0.06883333333333042,0.05191287878788131
2016-12-28,1,1.0849999999999937,0.06099999999999994,1.0,0.07700000000000529,0.28699999999999903,0.4609999999999985,-0.1739999999999995,-0.6089999999999947,-0.01052482830007589,-0.0017250154478625213,-0.0011421445535871877,-0.003502567677462709,-0.0024358367713929185,-0.004488408847870162,0.22279999999999234,-0.13009090909091015,0.004590909090907758,0.06339393939394711,0.04660606060605943
2016-12-29,1,0.4450000000000003,1.093999999999994,1.0,1.0849999999999937,0.8430000000000035,0.28600000000000136,0.5570000000000022,1.0239999999999938,0.01744695962826843,0.1258098051502713,-0.013077387733501977,0.00704550881158017,0.003977396036908054,-0.0001381885008397976,0.4269999999999996,-0.13968181818181336,0.011939393939393028,0.06775757575756813,0.05462500000000148
2017-01-02,-1,-0.6379999999999981,0.4450000000000003,1.0,0.4450000000000003,0.3369999999999962,0.5899999999999963,-0.2530000000000001,-0.6489999999999938,-0.011197236591750356,-0.21048444812449152,-0.073274520881353,0.0007321087036301632,-0.0019457594137133327,0.0002563852213061102,0.5944000000000003,-0.03454545454545155,0.02318181818182552,0.07629545454545905,0.05683333333332996
2017-01-03,1,2.2250000000000014,-0.5959999999999965,-1.0,-0.6379999999999981,-0.021000000000000796,0.09300000000000352,-0.11400000000000432,-1.0829999999999984,-0.018036967670788842,0.281632785418232,-0.017385457589075615,-5.472904376568888e-05,-0.005926770140597504,-0.0004839836851486812,0.33040000000000447,-0.10531818181818409,0.023257575757568816,0.060825757575756256,0.0573712121212111
2017-01-04,-1,-0.22500000000000142,2.1799999999999997,1.0,2.2250000000000014,1.588000000000001,0.259999999999998,1.328000000000003,2.820999999999998,0.04720173097402504,0.41398665301893733,-0.02597787026241616,0.036796885505962273,0.009785907742887123,0.004304648112383291,0.6387999999999963,0.10486363636363905,0.0519999999999996,0.0887045454545472,0.0594924242424284
2017-01-05,1,0.4819999999999993,-0.21699999999999875,-1.0,-0.22500000000000142,0.125,1.6709999999999994,-1.5459999999999994,-2.405000000000001,-0.040200069186667825,0.045256154246978486,-0.012859611691917516,-0.006400893103221006,-0.0037090786334169623,-0.000405966105335942,0.5783999999999949,0.05786363636362779,0.033833333333333826,0.0935075757575703,0.06044696969696872
2017-01-06,-1,-0.4059999999999988,0.47800000000000153,1.0,0.4819999999999993,0.4690000000000012,0.2920000000000016,0.1769999999999996,0.6989999999999981,0.011335854533895285,-0.03866479793426136,-0.004429438842699862,-0.007133357834668397,-0.0013514422617527666,-2.1880487224401612e-05,0.4578000000000131,0.10177272727273134,0.05636363636363484,0.0913939393939458,0.06366666666666276
2017-01-09,1,0.035000000000003695,-0.392000000000003,-1.0,-0.4059999999999988,-0.3369999999999962,-0.1980000000000004,-0.1389999999999958,-0.8840000000000003,-0.014301162467209215,0.0661619200154584,-0.035487560709564825,0.0016771417361435281,-0.002710770006772001,-0.0002406708034619065,0.28759999999999764,0.02622727272726877,0.049969696969697,0.08078030303030204,0.06408333333334326
2017-01-10,1,0.43199999999999505,0.030000000000001137,1.0,0.035000000000003695,0.03999999999999915,-0.08899999999999864,0.12899999999999778,0.4270000000000067,0.006881155877890292,-0.09824919971506496,-0.002467106790352225,-0.008960214152262114,-0.0009218008782745368,-4.319000832531117e-06,0.4221999999999966,0.01300000000000523,0.03392424242424852,0.0770681818181771,0.06374242424242027
2017-01-11,1,0.31400000000000006,0.4239999999999995,1.0,0.43199999999999505,0.3339999999999961,0.4029999999999987,-0.06900000000000261,0.4019999999999939,0.006514183639175737,-0.6562443835501885,-0.014074097191025925,0.0010184122775682702,-0.001219415678682667,0.000269892908563385,0.06359999999999388,0.06613636363636033,0.0423181818181817,0.07499242424243135,0.06483333333332553
2017-01-12,1,1.5080000000000027,0.31400000000000006,1.0,0.31400000000000006,0.22800000000000153,-0.045000000000001705,0.27300000000000324,-0.10999999999999943,-0.0018170325047526187,-0.02352129104432632,-0.0003061993769275517,-0.005677871013532454,-3.681408060285385e-05,6.385934137531635e-05,0.17140000000000555,0.08840909090909577,0.03321212121212369,0.07482575757575916,0.06509469696970172
2017-01-13,-1,-0.3019999999999996,1.4919999999999973,1.0,1.5080000000000027,1.6679999999999993,0.7830000000000013,0.884999999999998,1.1940000000000026,0.01909465921599071,0.3460178982165195,-0.011184899423062444,0.016455602753420173,0.006414260681944839,0.000187656119806201,0.37659999999999627,0.217045454545449,0.050151515151505066,0.09175757575757615,0.07592045454546081
2017-01-16,1,0.17900000000000205,-0.2879999999999967,-1.0,-0.3019999999999996,-0.25,0.9179999999999993,-1.1679999999999993,-1.793999999999997,-0.02862028727450812,-0.031225210895183264,0.007081619223724078,-0.0005670510782558313,0.0006511333035612576,-0.001082331938771719,0.39740000000000464,0.19868181818182507,0.038530303030306357,0.08901515151514872,0.0774696969696933
2017-01-17,1,0.5229999999999961,0.17499999999999716,1.0,0.17900000000000205,-0.07800000000000296,0.18999999999999773,-0.2680000000000007,0.46699999999999875,0.007316388862248907,-0.01842031231651753,-0.052361576022682765,-0.0018827097321520991,3.5695905776456094e-05,-5.326683976558666e-05,0.42619999999999436,0.25540909090909025,0.03277272727272873,0.0895151515151511,0.07712500000000233
2017-01-18,-1,-0.20399999999999352,0.5330000000000013,1.0,0.5229999999999961,0.6440000000000055,-0.09999999999999432,0.7439999999999998,0.347999999999999,0.005444527722173118,0.0014983510813132428,0.0021180358039822877,-0.0018603168192921071,-0.004061631135691579,-1.821112266620073e-05,0.4443999999999946,0.2708181818181856,0.05048484848484236,0.08494696969697202,0.07704166666665913
2017-01-19,-1,-0.19900000000000517,-0.2150000000000034,-1.0,-0.20399999999999352,0.02200000000000557,0.6069999999999993,-0.5849999999999937,-0.7369999999999948,-0.011519590084457847,0.06456851974219846,0.004846126974691112,0.0005031004175125586,-0.002139792763126702,-5.7224928252552765e-05,0.34080000000001576,0.2618636363636284,0.04592424242424187,0.07719696969697054,0.07721969696969921
2017-01-20,1,0.5700000000000003,-0.1939999999999955,-1.0,-0.19900000000000517,-0.22400000000000375,-0.4890000000000043,0.26500000000000057,0.015999999999998238,0.00023849836020111955,-0.38315824148917893,-0.07515472365271292,-0.0025792179363099965,0.000104908504751422,7.029876252839795e-05,-0.0006000000000057071,0.31090909090909946,0.03309090909091594,0.07344696969696685,0.07688257575757973
2017-01-23,1,1.2279999999999944,0.568000000000005,1.0,0.5700000000000003,0.23799999999999955,0.37700000000000244,-0.1390000000000029,0.7639999999999958,0.011937471920960778,0.03122181125753981,0.0015365006676753001,-0.0041874277891953415,0.0008129850792183424,0.00021772440221801137,0.17379999999999995,0.3153636363636352,0.027651515151518424,0.07517424242423942,0.08019318181817425
